vegetable,name,variety,start_at,end_at,kilojoules,calories,proteines,glucides,lipides
fruits,pomme,golden,2016/08/01,2016/12/01,212,51,0.3,11.7,0.3
fruits,pomme,reinette,2016/08/01,2016/10/01,301,72,0.36,19.06,0.23
fruits,pomme,elstar,2016/08/01,2017/03/01,301,72,0.36,19.06,0.23
fruits,pomme,golden,2016/08/01,2017/02/01,301,72,0.36,19.06,0.23
fruits,pomme,honeycrunch,2016/09/01,2017/03/01,301,72,0.36,19.06,0.23
fruits,pomme,jonagold,2016/09/01,2017/08/01,301,72,0.36,19.06,0.23
fruits,pomme,jonagored,2016/09/01,2017/07/01,301,72,0.36,19.06,0.23
fruits,pomme,golden delicious,2016/09/01,2017/07/01,301,72,0.36,19.06,0.23
fruits,pomme,chantecler,2016/10/01,2017/06/01,301,72,0.36,19.06,0.23
fruits,pomme,boskoop,2016/10/01,2017/03/01,301,72,0.36,19.06,0.23
fruits,pomme,granny-smith,2016/10/01,2017/04/01,301,72,0.36,19.06,0.23
fruits,pomme,melrose,2016/10/01,2017/03/01,301,72,0.36,19.06,0.23
fruits,pomme,rouge americaine,2016/10/01,2017/04/01,301,72,0.36,19.06,0.23
fruits,pomme,tentation,2016/10/01,2017/04/01,301,72,0.36,19.06,0.23
fruits,pomme,reinette clochard,2016/10/01,2017/03/01,301,72,0.36,19.06,0.23
fruits,pomme,braeburn,2016/11/01,2017/04/01,297,71,0.36,19.06,0.24
fruits,pomme,pink lady,2016/11/01,2017/05/01,301,72,0.36,19.06,0.23
fruits,pomme,reinette grise du Canada,2016/11/01,2017/03/01,301,72,0.36,19.06,0.23
fruits,pomme,jubilee,2016/11/01,2017/02/01,301,72,0.36,19.06,0.23
fruits,pomme,idared,2016/01/01,2016/06/01,301,72,0.36,19.06,0.23
fruits,pomme,fuji,2016/01/01,2016/06/01,297,71,0.36,19.06,0.24
fruits,pomme,gala,2016/09/01,2016/12/01,297,71,0.36,19.06,0.24
